iter	Logloss
0	0.6527682529
1	0.6159598915
2	0.5849817683
3	0.5604092243
4	0.5314943001
5	0.5056724112
6	0.4797957073
7	0.4595466047
8	0.4395300379
9	0.4305193326
10	0.4121996406
11	0.397854705
12	0.3874384652
13	0.3726662467
14	0.3567022914
15	0.339982522
16	0.3225323158
17	0.3110024413
18	0.2983287838
19	0.2873596061
20	0.2777699722
21	0.267194405
22	0.257318287
23	0.2549813256
24	0.2464453345
25	0.2374655854
26	0.2357497454
27	0.2287120235
28	0.2201534041
29	0.2134820527
30	0.2061606949
31	0.1997776393
32	0.1931826031
33	0.187687072
34	0.1835882406
35	0.1790493911
36	0.1730267195
37	0.1694748025
38	0.164439622
39	0.1606818487
40	0.1568629001
41	0.1526209912
42	0.148902802
43	0.1459619355
44	0.1431148122
45	0.1397568014
46	0.1374853716
47	0.1357025645
48	0.1354190762
49	0.1332606258
50	0.1311879667
51	0.1297785948
52	0.1280075277
53	0.1267361991
54	0.1249565766
55	0.1234472075
56	0.1221238778
57	0.1209609301
58	0.1196078678
59	0.1176359433
60	0.1164922189
61	0.1153695313
62	0.1141837814
63	0.112646008
64	0.1117549559
65	0.1108149497
66	0.1097018549
67	0.1087470047
68	0.1074185668
69	0.1065096104
70	0.1054153427
71	0.1042648755
72	0.1030806515
73	0.1019075161
74	0.1009788412
75	0.1000927108
76	0.09924313647
77	0.09862357768
78	0.09855544941
79	0.09789891448
80	0.09725373371
81	0.09681160975
82	0.09674235653
83	0.096229013
84	0.09595082679
85	0.09531016446
86	0.09507597025
87	0.09464202931
88	0.0942131507
89	0.09340211712
90	0.09281554434
91	0.09276574395
92	0.09224533358
93	0.09220432532
94	0.09215946199
95	0.09212022959
96	0.09163377353
97	0.09082072061
98	0.09044879361
99	0.08977269205
100	0.08933511423
101	0.08840824368
102	0.08725153862
103	0.08667891901
104	0.08620719714
105	0.08577694506
106	0.08517867981
107	0.08464069623
108	0.08395750205
109	0.0837461531
110	0.08334087851
111	0.08303205794
112	0.08243982045
113	0.08199690496
114	0.08167682295
115	0.08108194655
116	0.08081462091
117	0.08055936149
118	0.0800023268
